Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA","2,276,703",186,MB,Bus,DO,79,"25,172,498",,"7,417,757",,"1,932,925",,"13,986,026",,0,,"48,509,206",,0,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA","2,276,703",186,DR,Demand Response,PT,53,"6,673,627",,"658,470",,"41,331",,"2,531,726",,0,,"9,905,154",,0,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA","2,276,703",186,MB,Bus,PT,46,"8,694,931",,"1,634,386",,"57,212",,"3,366,803",,0,,"13,753,332",,0,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75340,"Riverside--San Bernardino, CA","2,276,703",186,CB,Commuter Bus,DO,8,"1,687,654",,"1,313,151",,"120,852",,"874,437",,0,,"3,996,094",,0,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI","605,666",185,MB,Bus,DO,99,"21,056,518",,"5,241,972",,"1,433,366",,"8,148,218",,0,,"35,880,074",,0,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI","605,666",185,DR,Demand Response,PT,62,"3,380,391",,"481,875",,"82,521",,"2,888,557",,0,,"6,833,344",,0,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI","605,666",185,VP,Vanpool,DO,15,"37,161",,"13,804",,"86,269",,"120,365",,0,,"257,599",,0,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI","605,666",185,RB,Bus Rapid Transit,DO,6,"1,412,364",,"368,684",,"103,580",,"575,642",,0,,"2,460,270",,0,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,34300,"Grand Rapids, MI","605,666",185,DR,Demand Response,DO,3,"237,186",,"25,011",,"34,376",,"65,523",,0,,"362,096",,0,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX","429,461",183,VP,Vanpool,PT,77,"363,198",,"48,989",,817,,"528,408",,0,,"941,412",,0,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX","429,461",183,DR,Demand Response,PT,57,"5,672,238",,"301,269",,"81,704",,"5,165,830",,0,,"11,221,041",,0,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX","429,461",183,MB,Bus,DO,31,"4,584,063",,"1,247,462",,"101,805",,"3,707,164",,0,,"9,640,494",,0,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX","429,461",183,YR,Hybrid Rail,PT,8,"9,103,834",,"206,702",,"3,308,409",,"3,558,036",,0,,"16,176,981",,0,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX","429,461",183,DR,Demand Response,DO,7,"1,115,047",,"252,350",,"39,932",,"771,606",,0,,"2,178,935",,0,
Denton County Transportation Authority,Lewisville,TX,60101,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23500,"Denton--Lewisville, TX","429,461",183,DR,Demand Response,TX,3,"67,125",,379,,744,,"227,951",,0,,"296,199",,0,
METRO Regional Transit Authority,Akron,OH,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,766,"Akron, OH","541,879",182,MB,Bus,DO,97,"23,340,683",,"7,377,517",,"1,744,731",,"5,737,809",,0,,"38,200,740",,0,
METRO Regional Transit Authority,Akron,OH,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,766,"Akron, OH","541,879",182,DR,Demand Response,DO,61,"6,816,626",,"2,509,213",,"421,516",,"3,006,287",,0,,"12,753,642",,0,
METRO Regional Transit Authority,Akron,OH,50010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,766,"Akron, OH","541,879",182,DR,Demand Response,PT,24,"914,342",,"600,099",,"48,376",,"77,900",,0,,"1,640,717",,0,
City of Madison,Madison,WI,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,53200,"Madison, WI","450,305",181,MB,Bus,DO,154,"32,735,522",,"9,280,778",,"1,690,616",,"7,316,014",,0,,"51,022,930",,0,
City of Madison,Madison,WI,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,53200,"Madison, WI","450,305",181,DR,Demand Response,TX,27,"1,825,273",,"595,171",,"139,223",,"812,831",,0,,"3,372,498",,0,
"KI BOIS Community Action Foundation, Inc.",Stigler,OK,60172,Private-Non-Profit Corporation,Rural Reporter,2022,,,,180,DR,Demand Response,DO,180,0,,0,,0,,0,,"10,348,160",,"10,348,160",,0,
Hillsborough Area Regional Transit Authority,Tampa,FL,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",174,MB,Bus,DO,99,"39,238,284",,"10,398,771",,"4,911,980",,"34,227,942",,0,,"88,776,977",,0,
Hillsborough Area Regional Transit Authority,Tampa,FL,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",174,DR,Demand Response,DO,45,"8,059,263",,"499,275",,"492,443",,"745,509",,0,,"9,796,490",,0,
Hillsborough Area Regional Transit Authority,Tampa,FL,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",174,DR,Demand Response,TX,26,"323,876",,"76,354",,"48,127",,"21,469",,0,,"469,826",,0,
West Feliciana Public Transit,Saint Francisville,LA,66337,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,"177,858",,"177,858",,0,
Hillsborough Area Regional Transit Authority,Tampa,FL,40041,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",174,SR,Streetcar Rail,DO,4,"1,511,062",,"914,821",,"173,727",,"180,985",,0,,"2,780,595",,0,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,2305,"Anchorage, AK","249,252",168,VP,Vanpool,PT,88,"397,594",,"37,488",,"2,950",,"667,879",,0,,"1,105,911",,0,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,2305,"Anchorage, AK","249,252",168,MB,Bus,DO,47,"17,333,639",,"5,065,491",,"2,537,150",,"5,949,271",,0,,"30,885,551",,0,
"Municipality of Anchorage, dba: Public Transportation",Anchorage,AK,00012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,2305,"Anchorage, AK","249,252",168,DR,Demand Response,PT,33,"4,180,243",,"408,050",,"34,723",,"1,220,138",,0,,"5,843,154",,0,
"Southeast Missouri Transportation, Inc.",Fredericktown,MO,70091,Private-Non-Profit Corporation,Rural Reporter,2022,,,,167,DR,Demand Response,DO,167,0,,0,,0,,0,,"6,665,314",,"6,665,314",,0,
"City of El Paso, dba: Sun Metro",El Paso,TX,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,27253,"El Paso, TX--NM","854,584",167,MB,Bus,DO,102,"22,199,950",,"9,245,272",,"3,386,000",,"8,860,750",,0,,"43,691,972",,0,
"City of El Paso, dba: Sun Metro",El Paso,TX,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,27253,"El Paso, TX--NM","854,584",167,DR,Demand Response,PT,61,"5,186,356",,"704,619",,"598,001",,"1,464,164",,0,,"7,953,140",,0,
"City of El Paso, dba: Sun Metro",El Paso,TX,60006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,27253,"El Paso, TX--NM","854,584",167,SR,Streetcar Rail,DO,4,"450,481",,"318,338",,"452,823",,"369,153",,0,,"1,590,795",,0,
"Michigan Department of Transportation, dba: MichiVan",,MI,50193,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,2022,23824,"Detroit, MI","3,776,890",166,VP,Vanpool,PT,166,"467,244",,"68,429",,"30,758",,"999,746",,0,,"1,566,177",,0,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47719,"Lansing, MI","318,300",163,MB,Bus,DO,87,"23,049,407",,"4,472,012",,"1,147,686",,"6,807,777",,0,,"35,476,882",,0,
South Central Transit Authority,Lancaster,PA,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47530,"Lancaster--Manheim, PA","394,530",163,MB,Bus,DO,75,"15,429,747",,"2,433,470",,"2,266,458",,"3,236,947",,0,,"23,366,622",,0,
South Central Transit Authority,Lancaster,PA,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47530,"Lancaster--Manheim, PA","394,530",163,DR,Demand Response,PT,58,"6,077,349",,"562,510",,"187,385",,"1,880,468",,0,,"8,707,712",,0,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47719,"Lansing, MI","318,300",163,DR,Demand Response,PT,47,"3,899,772",,"566,424",,"221,436",,"4,701,962",,0,,"9,389,594",,0,
South Central Transit Authority,Lancaster,PA,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47530,"Lancaster--Manheim, PA","394,530",163,DR,Demand Response,DO,30,"2,092,722",,"465,565",,"86,562",,"873,141",,0,,"3,517,990",,0,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47719,"Lansing, MI","318,300",163,DR,Demand Response,DO,27,"4,185,477",,"733,931",,"286,922",,"1,665,889",,0,,"6,872,219",,0,
Capital Area Transportation Authority,Lansing,MI,50036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,47719,"Lansing, MI","318,300",163,MB,Bus,PT,2,"16,493",,"4,143",,"1,427",,"17,825",,0,,"39,888",,0,
New Orleans Regional Transit Authority,New Orleans,LA,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,62677,"New Orleans, LA","963,212",161,MB,Bus,DO,95,"39,659,371",,"10,879,788",,"3,078,101",,"26,523,174",,0,,"80,140,434",,0,
New Orleans Regional Transit Authority,New Orleans,LA,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,62677,"New Orleans, LA","963,212",161,DR,Demand Response,DO,42,"9,213,934",,"2,260,456",,"487,200",,"5,250,633",,0,,"17,212,223",,0,
New Orleans Regional Transit Authority,New Orleans,LA,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,62677,"New Orleans, LA","963,212",161,SR,Streetcar Rail,DO,21,"10,471,043",,"6,474,907",,"3,080,919",,"7,582,419",,0,,"27,609,288",,0,
New Orleans Regional Transit Authority,New Orleans,LA,60032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,62677,"New Orleans, LA","963,212",161,FB,Ferryboat,PT,3,"3,886,758",,"2,323,381",,"295,180",,"3,765,720",,0,,"10,271,039",,0,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41212,"Indianapolis, IN","1,699,881",159,MB,Bus,DO,104,"43,288,605",,"15,230,810",,"3,132,051",,"21,426,813",,0,,"83,078,279",,0,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",159,MB,Bus,DO,95,"26,691,436",,"8,085,958",,"2,493,412",,"10,219,338",,0,,"47,490,144",,0,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",159,DR,Demand Response,DO,48,"9,521,033",,"1,256,781",,"849,844",,"3,583,580",,0,,"15,211,238",,0,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41212,"Indianapolis, IN","1,699,881",159,DR,Demand Response,PT,41,"7,711,861",,"1,037,061",,"481,848",,"4,998,869",,0,,"14,229,639",,0,
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,00024,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",159,VP,Vanpool,DO,16,"40,258",,"37,980",,"20,545",,"210,074",,0,,"308,857",,0,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41212,"Indianapolis, IN","1,699,881",159,RB,Bus Rapid Transit,DO,13,"4,806,621",,"1,498,366",,"869,946",,"2,459,851",,0,,"9,634,784",,0,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,41212,"Indianapolis, IN","1,699,881",159,MB,Bus,PT,1,"155,307",,"93,754",,"75,934",,"423,454",,0,,"748,449",,0,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,1171,"Albuquerque, NM","769,837",154,MB,Bus,DO,87,"20,211,840",,"11,003,623",,"1,925,529",,"7,295,572",,0,,"40,436,564",,0,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,1171,"Albuquerque, NM","769,837",154,DR,Demand Response,DO,54,"6,428,553",,"2,261,554",,"396,772",,"2,121,419",,0,,"11,208,298",,0,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,1171,"Albuquerque, NM","769,837",154,RB,Bus Rapid Transit,DO,13,"3,461,082",,"1,213,748",,"372,834",,"1,487,767",,0,,"6,535,431",,0,
"Rural Transit Enterprises Coordinated, Inc.",Mount Vernon,KY,40941,Private-Non-Profit Corporation,Rural Reporter,2022,,,,153,DR,Demand Response,DO,153,0,,0,,0,,0,,"11,393,907",,"11,393,907",,0,
Des Moines Area Regional Transit Authority,Des Moines,IA,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23743,"Des Moines, IA","542,486",152,MB,Bus,DO,81,"13,541,719",,"4,032,776",,"898,727",,"8,168,636",,0,,"26,641,858",,0,
Des Moines Area Regional Transit Authority,Des Moines,IA,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23743,"Des Moines, IA","542,486",152,VP,Vanpool,DO,48,"319,553",,"55,817",,"24,032",,"452,249",,0,,"851,651",,0,
Des Moines Area Regional Transit Authority,Des Moines,IA,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23743,"Des Moines, IA","542,486",152,DR,Demand Response,DO,21,"2,572,008",,"615,280",,"179,957",,"1,132,150",,0,,"4,499,395",,0,
Des Moines Area Regional Transit Authority,Des Moines,IA,70010,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23743,"Des Moines, IA","542,486",152,DR,Demand Response,TX,2,"62,953",,"10,190",,"7,532",,"26,547",,0,,"107,222",,0,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78229,"Salem, OR","268,331",149,MB,Bus,DO,53,"18,843,970",,"3,726,863",,"1,205,954",,"8,581,932",,0,,"32,358,719",,0,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78229,"Salem, OR","268,331",149,DR,Demand Response,PT,43,"3,580,017",,"251,504",,"55,648",,"605,537",,0,,"4,492,706",,0,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78229,"Salem, OR","268,331",149,VP,Vanpool,PT,42,"65,302",,"11,175",,"4,076",,"158,399",,0,,"238,952",,0,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,00025,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78229,"Salem, OR","268,331",149,MB,Bus,PT,11,"1,323,760",,"268,815",,"93,861",,"259,300",,0,,"1,945,736",,0,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL","402,126",147,MB,Bus,DO,62,"11,252,669",,"2,182,264",,"499,268",,"2,085,341",,0,,"16,019,542",,0,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL","402,126",147,DR,Demand Response,DO,52,"4,382,075",,"991,542",,"270,676",,"975,912",,0,,"6,620,205",,0,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL","402,126",147,DR,Demand Response,PT,16,"748,862",,"129,803",,"85,436",,"322,587",,0,,"1,286,688",,0,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL","402,126",147,VP,Vanpool,PT,10,"37,012",,"1,844",,"1,553",,"47,078",,0,,"87,487",,0,
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22612,"Daytona Beach--Palm Coast--Port Orange, FL","402,126",147,DR,Demand Response,TX,7,"527,980",,"95,329",,"70,157",,"134,583",,0,,"828,049",,0,
